,Statement Description
168,Knowledge of data security concepts
169, Understanding of encryption principles
170,flood plains
171, flood risk assessment
172, probability of natural disasters
173,knowledge of columnar transposition
174, understanding of transposition ciphers
175, familiarity with cribs in cryptanalysis
176,network security
177, Intrusion Detection System (IDS)
178, signature based detection
179, known attacks
180,understanding of access control mechanisms
181, familiarity with data security models
182,ARP protocol
183, LAN network operations
184, IP addressing
185, MAC addressing
186,knowledge of digital security
187, understanding of certificate management
188,network security
189, firewall function
190,Mobile Device Management (MDM)
191, Enterprise environments
192, Security policies
193, Device management
194,DVD technology
195, region coding
196, global release planning
197, unauthorized access
198, DVD players
199,Configuration Control
200, Configuration Management
201, Change Management
202,GSM security mechanisms
203, wireline network security
204, A5/1 encryption standard
205, country specific telecommunications regulations
206,OSI model
207, Network layer functions
208,Cryptographic methods
209, Key characteristics
210, Vernam Cipher (One Time Pad)
211,Knowledge of NIST Risk Management Framework steps
212, Understanding of information system security
213,knowledge of password security
214, understanding of passphrase characteristics
215,Understanding of cost benefit analysis
216, Knowledge of security economics
217, Awareness of indirect costs
218,knowledge of cyber security techniques
219, understanding of obfuscation methods
220, awareness of attack vectors
221,WiFi standards
222, Frequency bands in wireless networking
223,network communication models
224, history of internet development
225, acronyms for networking organizations
226,Sampling techniques
227, Nonstatistical sampling methods
228, Focus on specific events
229,knowledge of software security organizations
230, familiarity with acronyms related to cybersecurity
231,knowledge of the Morris worm
232, understanding of computer security vulnerabilities
233, awareness of early computer emergency response teams
234,network security concepts
235, intrusion detection systems
236,PCI DSS (Payment Card Industry Data Security Standard) knowledge
237, Compliance and security best practices
238, Business operations management
239,Knowledge of cryptography
240, Understanding of cipher machines
241, Familiarity with decryption techniques
242, Experience with codebreaking
243,knowledge of US telecommunications law
244, understanding of cybersecurity issues
245, familiarity with internet regulation
246,Risk assessment
247, Quantitative risk analysis
248, Asset valuation
249, Exposure factors
250,Understanding of network types
251, Knowledge of public and private networks
252, Familiarity with LAN and WAN
253, Awareness of the concept of extranets
254,Cybersecurity fundamentals
255, Incident response processes
256, Security best practices
257,SSO (Single Sign On) concepts
258, Smart card security token basics
259,knowledge of encryption types
260, understanding of symmetrical and asymmetrical encryption
261,knowledge of ethical hacking
262, understanding of cybersecurity threats
263, familiarity with system maintenance cycles
264, awareness of technological advancements
265,firewall configuration
266, TCP and UDP packets
267, ACL configurations
268, spoofed requests
269, packet analysis
270,knowledge of information security risk management processes
271, understanding of the Systems Development Life Cycle (SDSM)
272, familiarity with certification and accreditation procedures
273,Network security protocols
274, Security services provided by protocols
275, Internet Protocol Security (IPsec) components
276,Cryptography basics
277, Encryption algorithms
278, Secure data transmission principles
279,Knowledge of information security frameworks
280, Understanding of ISO standards
281, Awareness of BS 7799 and its evolution
282,knowledge of encryption methods
283, understanding of symmetric vs asymmetric encryption
284, factors affecting encryption choice for large data
285,Knowledge of data security concepts
286, Understanding of cryptographic processes
287,email security
288, virus protection methods
289, antivirus software
290, firewall configurations
291, email server management
292,computer networking
293, worms (computing)
294, virus propagation methods
295,Payment Card Industry Data Security Standard (PCI DSS)
296, Customized approach in PCI DSS
297, Compensating controls
298, Annual PCI DSS assessment process
299, Ongoing monitoring of controls
300,Knowledge of cybersecurity principles
301, Understanding of security planning
302, Familiarity with C&A (Continuous Authorization and Assessment) process
303,knowledge of password security principles
304, understanding of security measures and their effects
305,knowledge of common web domain structures
306, understanding of trusted websites
307, awareness of phishing techniques
308,cybersecurity concepts
309, network security
310, server enumeration techniques
311,Understanding of web application security
312, Knowledge of common web vulnerabilities
313, Familiarity with SQL and script injection techniques
314,IEEE 802.1x standard
315, Access control technologies for LANs
316, Authentication methods for wired and wireless networks
317,Database management
318, Panel interface design
319,cryptographic algorithms
320, asymmetric cryptography
321, hybrid cryptosystems
322, RSA
323,Risk management principles
324, ALARP (As Low As Reasonably Practicable) concept
325, Risk tolerance
326, Risk acceptance
327,knowledge of cryptographic schemes
328, understanding of discrete logarithm problem
329, familiarity with elliptic curve cryptography
330, awareness of prime number selection for cryptographic systems
331,Web Application Firewall
332, cybersecurity
333, web application security
334, unauthorized access
335, security threats
336,WLAN security
337, WPA2 encryption
338, default SSID changes
339, frequency band usage
340,knowledge of cryptographic techniques
341, understanding of secure communication methods
342, familiarity with internet security protocols
343,Cryptography
344, Symmetric encryption
345, One time pad characteristics
346,knowledge of wireless communication technologies
347, understanding of transmission media types
348,knowledge of cybersecurity practices
349, understanding of payment security
350, familiarity with system monitoring techniques
351, awareness of security log analysis
352,knowledge of cryptographic algorithms
353, understanding of encryption and decryption processes
354,Buffer overflow
355, Computer security
356, Programming languages
357, Stack data structure
358,Symmetric encryption schemes
359, SRTP (Secure Real time Transport Protocol)
360, AES (Advanced Encryption Standard) modes of operation
361, CBC (Cipher Block Chaining)
362, ECB (Electronic Codebook)
363, RC4 stream cipher
364, GCM (Galois/Counter Mode)
365,IT security
366, Management role in security
367, Outsourcing practices
368, Patch management
369,Knowledge of information security best practices
370, Understanding of organizational information protection needs
371, Ability to communicate effectively
372, Familiarity with training methodologies
373,Biometric systems and their ethical implications
374, User rights and autonomy in technology
375, Privacy concerns related to biometric data
376,Knowledge of cybersecurity terms
377, Understanding of common cyber threats
378,TCP protocol knowledge
379, Port scanning techniques
380,smartcard technology
381, ATM card security
382, security benefits of smartcards
383, magnetic strip limitations
384,Librarian roles in operations
385, IT support basics
386, Backup management
387, Media preservation techniques
388,Understanding of computer systems
389, Knowledge of hardware
390, firmware
391, and software components
392, Awareness of security concepts
393, Familiarity with common security exploits
394,Cybersecurity
395, Honeypot technology
396, Attack detection methods
397,VLANs
398, Layer 2 networking
399, LAN segmentation
400,Knowledge of CIA triad principles
401, Understanding of what each letter represents in CIA triad
402,DNS
403, MX records
404, dig command
405, whois command
406,Wireless network security
407, Hacking tools
408,XTS AES mode
409, Block cipher basics
410, Encryption modes
411,Business Continuity Planning
412, Change Management
413,Kerberos protocol
414, Secure time services
415, Clock synchronization
416,Wireless ad hoc network protocols
417, Link state routing
418, Security mechanisms in wireless networks
419, SPINS protocol
420,IKEv1 protocols
421, IKEv2 core specification
422, NAT traversal techniques
423,network security concepts
424, cybersecurity tactics
425, threat detection methods
426,NIST Cybersecurity Framework
427, Functions of NIST Cybersecurity Framework
428,fingerprint characteristics
429, forensic science
430,jurisdiction
431, legal terms
432,knowledge of cybersecurity concepts
433, understanding of information security principles
434,network security
435, cybersecurity concepts
436, types of cyber attacks
437,knowledge of network security
438, understanding of different types of network scans
439, awareness of firewall and IDS functionalities
440,knowledge of cryptographic techniques
441, understanding of data encryption methods
442,Understanding of cybersecurity principles
443, Knowledge of layered defense strategies
444, Concept of deterrence in security
445,Cybersecurity Framework knowledge
446, Understanding of different organizations that provide cybersecurity guidelines
447,Trade secret laws
448, Defend Trade Secrets Act
449,knowledge of firewall systems
450, understanding of network security
451, awareness of organizational security policies
452, familiarity with IT infrastructure
453,knowledge of system audit logs
454, understanding of file properties and attributes
455, familiarity with hashing techniques
456, awareness of limitations of antivirus software
457,cryptographic concepts
458, biometrics
459, statistical independence
460,ARP protocol
461, DNS system
462, network attacks
463,Public Key Infrastructure
464, Certificate validation
465, Decentralized model
466, Web of trust
467,Cryptography basics
468, Information theoretic security concepts
469, One Time Pad characteristics
470, Discrete Logarithm Problem
471, Pseudorandom Function properties
472, RSA algorithm
473,knowledge of cybersecurity threats
474, understanding of network security practices
475, awareness of technological evolution
476,Network protocols
477, Port scanning techniques
478, ICMP functionality
479, FTP and HTTP basics
480,software security
481, open source vs closed source debates
482, code review processes
483,Symmetric cryptography
484, Cryptographic principles
485, Plaintext manipulation
486, Key security
487,Understanding of organizational security needs
488, Knowledge of regulatory requirements
489, Familiarity with risk assessment methods
490, Experience in control implementation
491,PCI DSS 4.0 standards
492, Access control policies
493, User account management procedures
494,NIST Cybersecurity Framework
495, Cybersecurity incident detection
496,cloud computing fundamentals
497, elasticity concept
498,network security
499, firewall functions
500, access control
501,Group theory
502, Commutative property
503,Knowledge of cryptographic techniques
504, Understanding of symmetric encryption
505, Understanding of asymmetric encryption
506, Understanding of hybrid cryptosystems
507,knowledge of firewall functions
508, understanding of network security concepts
509, familiarity with network traffic and packet inspection
510,knowledge of cybersecurity terms
511, understanding of control types in information security
512,Biometrics
513, Authentication methods
514,knowledge of cryptographic modes
515, understanding of block ciphers
516, understanding of stream ciphers
517, knowledge of encryption vulnerabilities
518, specific knowledge of cut and paste attacks
519,Information Risk Management
520, Vulnerability Analysis
521, Risk management processes
522, Threat identification
523, Weakness assessment
524,Cybersecurity
525, Internet security
526, Intranet security
527, Web security
528, Threats to information systems
529,knowledge of cryptographic protocols
530, understanding of elliptic curve cryptography
531, awareness of key length in encryption
532,public key infrastructure
533, session key distribution
534, three level approach
535,Knowledge of cryptographic modes of operation
536, Understanding of stream ciphers
537, Understanding of Electronic Codebook (ECB) mode
538, Understanding of block ciphers
539, Understanding of Cipher Block Chaining (CBC) mode
540,Understanding of cybersecurity principles
541, Knowledge of access control mechanisms
542, Awareness of security risks associated with overprivileged users
543,Understanding of software development
544, Knowledge of web services and protocols
545,Business Continuity Planning
546, Information Security Strategy
547, Disaster Recovery Plans
548, Alternate Site Operations
549,knowledge of cybersecurity practices
550, understanding of social engineering tactics
551,knowledge of cryptographic attacks
552, understanding of encryption processes
553, familiarity with key recovery techniques
554, awareness of plaintext ciphertext relationships
555,knowledge of cybersecurity
556, understanding of software vulnerabilities
557, awareness of attacker motivations
558,OSI model
559, Network layer security
560,international law
561, law of armed conflict
562, cyber operations
563, principles of humanity
564,Web application security
565, Types of web attacks
566, Authentication concepts
567,Switching fundamentals
568, Port mirroring/SPAN concept
569, Network monitoring
570,knowledge of symmetric key encryption systems
571, understanding of block ciphers
572, awareness of encryption processes
573,Motion detection technology
574, Types of motion detectors
575,knowledge of common types of cyber attacks
576,Knowledge of organizational security practices
577, Understanding of information classification
578,Understanding of cryptographic principles
579, Knowledge of hash functions
580, Familiarity with security properties
581,knowledge of US federal and state privacy laws
582, understanding of the Unsolicited Electronic Mail Act
583, familiarity with email regulations and legislation
584,Intrusion Detection Systems
585, Host based IDS
586, Network IDS
587,ICMP
588, network scanning
589, ping
590,FTP (File Transfer Protocol) knowledge
591, Understanding of file sharing concepts
592,knowledge of network security concepts
593, understanding of security devices and their functions
594,Knowledge of Common Criteria framework
595, Understanding of international standards for IT security evaluation
596, Familiarity with organizations involved in IT security assessment
597,Understanding of network security concepts
598, Knowledge of encryption techniques
599, Awareness of public vs private networks
600, Familiarity with cybersecurity practices
601,Understanding of ticket based authentication systems
602, Knowledge of service tickets
603, Familiarity with Kerberos protocol
604,Data analysis
605, Transaction processing
606, Behavioral profiling
607,Knowledge of password security principles
608, Understanding of password complexity
609, Awareness of common password attacks
610,knowledge of national policy trends
611, understanding of privacy and data protection issues
612, familiarity with current global regulatory frameworks
613,network scanning
614, ping scan
615, port scan
616, OS fingerprinting
617, Nmap
618,knowledge of operating system architecture
619, understanding of kernel mode operations
620, awareness of system service descriptor table (SSDT)
621, familiarity with rootkit types
622,definition of IoT
623, networking concepts
624, internet connectivity
625, sensors and data collection
626,security concepts
627, control types
628, security policy components
629,Dolev Yao adversary model
630, Adversary actions in cryptographic security
631,knowledge of web security
632, understanding of session management
633, awareness of session hijacking techniques
634,knowledge of number theory
635, familiarity with algorithmic techniques
636, understanding of prime factorization methods
637, awareness of random number generation in algorithms
638, knowledge of Pollard’s rho Algorithm
639,network scanning
640, ping sweep
641, live systems identification
642,knowledge of web cloning
643, understanding of social engineering
644, familiarity with web tools
645,knowledge of cybersecurity
646, understanding of CAPTCHA functionality
647, awareness of common cybersecurity threats
648,Risk management concepts
649, Security controls
650,Cybersecurity concepts
651, Network security techniques
652, Types of cybersecurity measures
653,Security principles
654, Operating system security
655,Network security concepts
656, Types of cyber threats
657,Understanding of cybersecurity concepts
658, Knowledge of encryption methods
659, Awareness of network security
660, Familiarity with virtual private networks
661,Social engineering techniques
662, Cybersecurity concepts
663,knowledge of IT security processes
664, understanding of configuration management
665,Knowledge of instant messaging terminology
666, Understanding of spam and its variants
667, Familiarity with acronyms used in technology contexts
668,knowledge of access control models
669, understanding of security concepts
670, familiarity with take grant model specifics
671,knowledge of U.S. government acts and their purposes
672, understanding of federal information technology management structures
673,Information security concepts
674, Fundamental principles of cybersecurity
675, Application systems development lifecycle
676,firewall types
677, network security concepts
678, packet inspection techniques
679,Expert Systems
680,knowledge of cybersecurity practices
681, understanding of software vulnerabilities
682, awareness of common cyber threats
683,Knowledge of security practices
684, Understanding of authentication processes
685, Awareness of accountability mechanisms
686,knowledge of system types
687, understanding of embedded systems
688,knowledge of common cybersecurity threats
689, understanding of authentication mechanisms
690, awareness of social engineering techniques
691,radar technology
692, pulse repetition frequency
693, signal processing techniques
694, receiver operation
695,knowledge of trusted third parties
696, understanding of personal privacy policies
697, familiarity with surveys and their role in policy creation
698, awareness of data protection and PII
699, comprehension of community consensus and its implications
700,knowledge of cybersecurity terms
701, understanding of malware types
702, definition of ransomware
703,network protocols
704, TCP/IP model
705, data communication concepts
706,Biometrics
707, Security principles
708, User acceptance factors
709, Data storage concepts
710,Understanding of organizational structure
711, Knowledge of management principles
712, Familiarity with leadership roles
713,WLAN basics
714, PC to PC communication
715, Infrastructure mode characteristics
716, Ad hoc mode characteristics
717, WLAN frequency bands
718,knowledge of network security
719, understanding of authentication methods
720, familiarity with Kerberos protocol
721, awareness of SSH function
722, knowledge of PKI
723,Understanding of cybersecurity concepts
724, Knowledge of preventive vs detective controls
725, Awareness of incident response strategies
726,data protection responsibilities
727, data roles in organizations
728, data security policies
729,mandatory vacations
730, security principles
731, fraud prevention
732, malicious activities
733,OSI model layers
734,Understanding of vulnerability assessment processes
735, Familiarity with cybersecurity standards and frameworks
736, Knowledge of vulnerability scoring systems
737, Comprehension of cybersecurity terminology and concepts
738,Understanding of access control mechanisms
739, Knowledge of capabilities based security models
740, Familiarity with ACLs (Access Control Lists)
741,security policies
742, overall direction
743, requirements
744, daily operations
745, long term network maintenance
746, technology implementation
747,knowledge of asymmetric encryption
748, understanding of elliptic curve cryptography
749, familiarity with hybrid encryption schemes
750, awareness of Diffie Hellman and Elliptic Curve Diffie Hellman algorithms
751, knowledge of RSA algorithm
752,knowledge of security principles
753, understanding of development environment vulnerabilities
754, awareness of access control mechanisms
755,Cybersecurity
756, Incident response
757, Information security
758,knowledge of the CIA triad
759, understanding of security objectives
760,GPG (GNU Privacy Guard) basics
761, Public key cryptography concepts
762, Email security protocols
763,Network troubleshooting
764, MegaPing functionality
765, System responsiveness
766, Port scanning
767, UDP scans
768,knowledge of military technology
769, understanding of radar systems
770, awareness of electronic warfare techniques
771, familiarity with identification friend or foe (IFF) systems
772,UAV security
773, malicious access prevention
774, biometric authentication
775, physical security
776, network access control
777, geofencing
778,network security
779, file transfer protocols
780,Unix security
781, File system structure and purpose
782,network security concepts
783, firewall and perimeter defense
784, network segmentation
785, DMZ (De Militarized Zone) understanding
786,Knowledge of information security controls
787, Understanding of data protection principles
788,DES algorithm
789, initial permutation
790, final permutation
791, bit manipulation
792,Understanding of vulnerability assessment and management
793, Knowledge of cybersecurity threat assessment frameworks
794, Familiarity with vulnerability scoring systems
795,knowledge of cybersecurity
796, understanding of firewall functions
797,Credentials
798, Something you know
799, Something you have
800, Username
801, Password
802, PIN code
803, Certificate
804,Configuration management processes
805, Software development lifecycle
806, Change management
807,Fire safety
808, Climate control
809, Power management
810, Data center infrastructure
811,Understanding of cybersecurity terms
812, Knowledge of common cyber threats
813, Awareness of phishing tactics
814,knowledge of cryptographic protocols
815, understanding of number theory
816, familiarity with factoring problems
817, awareness of square roots modulo N
818,principle of least privilege
819, role based access control
820,Knowledge of information security standards
821, Understanding of ISO/IEC standards
822, Familiarity with incident management frameworks
823,network security
824, vulnerability assessment
825, security tools
826,password security
827, user education
828, cybersecurity practices
829,Understanding of cybersecurity principles
830, Knowledge of internal controls
831, Awareness of fraud prevention techniques
832, Familiarity with organizational security practices
833,Cybersecurity principles
834, Confidentiality in cybersecurity
835,network security
836, wireless network security
837, encryption methods
838, default settings in networking
839,history of computing
840, World War II technology
841, codebreaking history
842,Virtual Private Network protocols
843, SLIP protocol
844,Access control mechanisms
845, Types of security requirements
846,pay TV industry knowledge
847, piracy response strategies
848, copyright protection methods
849, legal enforcement effectiveness
850,cybersecurity principles
851, acceptable use policies
852, hacking methods
853, software installation procedures
854, vulnerability exploitation techniques
855,Information Risk Management
856, Project Sizing
857, Threat Identification
858, Asset Valuation
859, Vulnerability Assessment
860,Internet ethics
861, Computer crime laws
862, Intellectual property rights
863,HTTP/1.1 protocol
864, TCP connection establishment process
865, Web server and client communication
866,Risk management concepts
867, Traditional risk analysis methods
868,Java security model
869, Applet execution environment limitations
870,cloud service models
871, networking and security concepts
872,knowledge of wireless networking security strategies
873, understanding of geofencing technology
874,CMMI (Capability Maturity Model Integration) knowledge
875, Understanding of CMMI maturity levels
876,knowledge of ethical hacking
877, understanding of black hat and white hat hackers
878, awareness of black box and white box testing
879, familiarity with CEH certification
880,Defense in depth
881,knowledge of workplace monitoring
882, understanding of business ethics
883, awareness of employee rights
884,Situational crime prevention theories
885, Understanding of criminal incentives
886,knowledge of system hacking tools
887, understanding of Windows security mechanisms
888, familiarity with hash cracking processes
889,network appliances
890, security concepts
891, cybersecurity roles
892, security devices
893,Disaster recovery concepts
894, Business continuity planning
895, IT infrastructure management
896,Business Impact Analysis
897, Critical vs noncritical functions
898,knowledge of networking hardware
899, understanding of switch features
900, familiarity with networking vendor specific terminology
901,Knowledge of encryption techniques
902, Understanding of symmetric vs asymmetric encryption
903,Understanding of password cracking techniques
904, Knowledge of different types of attacks in cybersecurity
905, Familiarity with hash functions and password storage methods
906,Understanding of cyber security attacks
907, Knowledge of password security
908, Awareness of different types of cyber attacks
909,Relational database fundamentals
910,Mandatory Access Control principles
911, Classification and clearance concepts
912,Business Impact Analysis
913, Server management roles
914, Interdepartmental dependencies
915,malicious code types
916, computer security
917,Knowledge of security concerns
918, Understanding of liability issues
919, Awareness of dog behavior and capabilities
920,Bluetooth technology
921, Bluetooth scanning process
922,Cryptography basics
923, Key types in cryptography
924,Intel processor features
925, Privacy concerns in technology
926, Digital rights management
927,knowledge of privacy policies
928, understanding of user data protection
929, familiarity with online services
930,Cryptography
931, Data security concepts
932,block cipher properties
933, cryptographic principles
934,malware types
935, file system artifacts
936, Trojan malware characteristics
937, fileless malware characteristics
938,Data warehousing concepts
939, Database systems
940,knowledge of cloud computing services
941, understanding of different cloud computing models
942,Understanding of service denial attacks
943, Knowledge of anonymous principals
944, Awareness of name services for identification
945, Concept of selective attacks
946,knowledge of cybersecurity concepts
947, understanding of internet security
948, awareness of encryption methods
949,Knowledge of Bernoulli processes
950, Understanding of linear feedback shift registers
951, Characteristic polynomials of LFSRs
952, Autocorrelation function definition
953,knowledge of UNIX filesystem integrity verification processes
954, understanding of system crashes and their effects
955, familiarity with integrity check methods
956,knowledge of malware types
957, understanding of polymorphism in computer science
958, awareness of antivirus detection methods
959,Knowledge of IT security principles
960, Understanding of accountability in network management
961, Familiarity with security controls
962,Knowledge of healthcare regulations
963, Understanding of patient privacy laws
964, Familiarity with HIPAA guidelines
965,two factor authentication
966, cybersecurity concepts
967, phishing attacks
968, mobile phone authentication
969, password management
970,Cybersecurity fundamentals
971, Incident response processes
972, Security breach mitigation strategies
973,knowledge of common cyber attacks
974, understanding of phishing techniques
975, awareness of spear phishing
976,knowledge of digital forensics
977, understanding of computer forensic investigations
978, familiarity with file analysis techniques
979,Understanding of cybersecurity threats
980, Knowledge of spamming techniques
981, Awareness of email systems and their vulnerabilities
982,Knowledge of communication security
983, Understanding of frequency band management
984, Awareness of jamming techniques
985,knowledge of World War II cryptography
986, understanding of encryption machines
987, specific knowledge of Enigma machine
988,knowledge of cryptographic algorithms
989, familiarity with NIST and NSA
990, understanding of digital signature standards
991, awareness of Secure Hash Standard (SHS)
992,network security concepts
993, firewall functions
994, network segmentation
995,Knowledge of Public Key Infrastructure (PKI)
996, Understanding of digital certificates
997, Familiarity with role of Certificate Authorities in PKI
998,knowledge of password types
999, understanding of static vs dynamic passwords
1000,virus propagation techniques
1001, malware distribution methods
1002, computer security concepts
1003,IPsec and IKE protocols
1004, BSD based systems networking
1005, Communication protocols in BSD
1006, PF KEYv2
1007, NETLINK
1008, XFRM
1009,Knowledge of cryptographic algorithms
1010, Understanding of symmetric key cryptography
1011,knowledge of Bluetooth technology
1012, understanding of cybersecurity threats
1013, awareness of data theft methods
1014,intrusion detection systems
1015, network security concepts
1016, types of IDS
1017,security compliance terms
1018, information system evaluation process
1019, technical security features
1020, non technical security features
1021,knowledge of VISA fraud reduction initiatives
1022, understanding of payment security measures introduced in the 1990s
1023,Knowledge of network packet marking techniques
1024, Understanding of Deterministic Packet Marking (DPM)
1025, Understanding of Probabilistic Packet Marking (PPM)
1026, Understanding of Algebraic Packet Marking (APM)
1027,Principles of information security
1028,Risk management
1029, Cost benefit analysis
1030, Vulnerability assessment
1031,digital signatures
1032, verifiability
1033, authentication
1034, non repudiation
1035, time stamping
1036,Biometric technologies
1037, STU III encrypting telephone system
1038, Equal error rate concept
1039,Switch operations
1040, Network security concepts
1041, ARP protocol
1042, MAC address table
1043,Linux runlevels
1044,Cryptography
1045, Cipher design principles
1046, Confusion and diffusion
1047, Cryptographic security
1048,network security
1049, cybersecurity concepts
1050, types of cyber attacks
1051,Wireless Application Protocol (WAP)
1052, WTLS (Wireless Transport Layer Security)
1053, Security protocols in mobile communications
1054,Understanding of different types of policies
1055, Knowledge of management practices
1056, Awareness of organizational behavior concepts
1057,Understanding of database management systems
1058, Knowledge of transactional integrity
1059, Familiarity with computer security concepts
1060,Understanding of security principles
1061, Knowledge of access control mechanisms
1062,Access control systems
1063, Security systems
1064, Facility management
1065,OSI model layers
1066, Encryption concepts
1067, Data formatting
1068, Presentation layer functions
1069,Java security concepts
1070, Sandbox mechanism
1071,Penetration testing
1072, Penetration Testing Execution Standard (PTES)
1073, Authorization process
1074, Scope definition
1075,Security as a Service
1076, cloud computing
1077, cloud service provider
1078,knowledge of security controls types
1079, understanding of WPA and TKIP
1080,wireless networking fundamentals
1081, security threats in wireless networks
1082, association processes in wireless communication
1083,Understanding of distributed systems
1084, Knowledge of security requirements
1085, Awareness of subsystem composition
1086, Familiarity with realization approaches
1087, Comprehension of layered architecture
1088,Understanding of access control models
1089, Knowledge of discretionary access control
1090, Knowledge of non discretionary access control
1091, Knowledge of mandatory access control
1092, Knowledge of role based access control
1093,Knowledge of audience analysis
1094, Understanding of information security concepts
1095, Communication skills
1096, Awareness of different learning styles
1097,cybersecurity
1098, risk assessment
1099, organization assets
1100, legal action
1101, cybercriminals
1102, financial impact
1103, cybersecurity incidents
1104,Voice recognition technology
1105, Forensic science
1106, Error rates in speech recognition
1107,Symmetric key cryptography basics
1108, Encryption and decryption process
1109, Key usage in cryptographic systems
1110,Network security concepts
1111, Security practices and terminology
1112,network security concepts
1113, intrusion detection systems (IDS)
1114,knowledge of privacy policy design
1115, understanding of consumer protection
1116, familiarity with legal standards in privacy
1117, experience in risk management
1118,network security
1119,  intrusion detection systems
1120, SubSeven malware
1121,knowledge of common hacking techniques
1122, understanding of password guessing methods
1123,knowledge of cybersecurity
1124, understanding of different authentication methods
1125, awareness of common cybersecurity threats
1126,knowledge of UNIX syslog facilities
1127, understanding of logging concepts
1128,web server security
1129, network architecture
1130, types of cyber attacks
1131,security engineering
1132, cybersecurity
1133, cryptography
1134, software reliability
1135,Understanding of network security concepts
1136, Knowledge of communication protocols
1137, Awareness of public vs private network differences
1138,Port numbering
1139, Common port usage
1140,Information Risk Management
1141, Risk assessment
1142, Security policies
1143, Strategic planning
1144, IT environment
1145,cybersecurity practices
1146, forensic analysis techniques
1147, event sequencing
1148,replacement cost valuation
1149, risk assessment process
1150, intangible assets
