,Statement Description
344,XML encryption
345, symmetric encryption
346, public key encryption
347, private key encryption
348, hybrid encryption
349,Knowledge of secure password creation
350, Understanding of password cracking techniques
351, Awareness of common password vulnerabilities
352,Social engineering attacks
353, Types of phishing attacks
354, Vishing definition
355, Smishing definition
356, Whaling definition
357, Phishing definition
358,Understanding of risk management concepts
359, Knowledge of qualitative vs quantitative risk analysis
360, Awareness of risk mitigation strategies
361, Familiarity with internal and external threats
362,knowledge of organizational security procedures
363, understanding of managerial responsibilities
364, familiarity with organizational structure
365,IPsec
366, transport mode
367, tunnel mode
368, IP encryption
369,TCP connection process
370, Three way handshake procedure
371,Understanding of open source intelligence gathering techniques
372, Knowledge of cybersecurity vulnerabilities
373, Awareness of ethical considerations in intelligence gathering
374, Familiarity with organizational structures
375, Experience in social engineering
376,networking
377, data transmission
378,Understanding of computer security models
379, Familiarity with Bell LaPadula model
380, Knowledge of confidentiality in security contexts
381,knowledge of web security
382, understanding of SQL
383, awareness of different types of cyber attacks
384,Risk management
385, Enterprise risk management
386, Risk assessment techniques
387,HTTP protocol basics
388, Data tunneling concepts
389, Encryption methods
390, Access control mechanisms
391,knowledge of firewalls
392, understanding of network security concepts
393, familiarity with network traffic inspection
394,Configuration Management
395, Configuration Control Board
396, Work product configurations
397, Human element in configuration management
398,URL encoding
399, Web security concepts
400, Common web attacks
401,Knowledge of cryptographic concepts
402, Understanding of symmetric and asymmetric encryption
403,Assembly language
404, Executable files
405, Static analysis techniques
406,IPSec components
407, Security Association (SA)
408, Network security protocols
409,hashing algorithms
410, cryptography
411,knowledge of password security
412, understanding of hashing algorithms
413, current standards in cryptography
414,Understanding of cybersecurity threats
415, Knowledge of psychological manipulation techniques
416, Awareness of common social engineering tactics
417,Understanding of IP and MAC addressing
418, Knowledge of ARP protocol function
419, Concept of man in the middle attacks
420, Awareness of network security threats
421,information security
422, security controls
423, change management
424,knowledge of SIEM systems
425, understanding of cybersecurity and event management
426, familiarity with network security concepts
427,Knowledge of LAN and WAN security
428, Understanding of physical security controls
429, Awareness of environmental factors affecting network security
430, Familiarity with backup and recovery procedures
431,knowledge of hashing algorithms
432, understanding of salt usage in cryptography
433,SQL injection
434, database security
435, query parameterization
436,Data security knowledge
437, Understanding of data privacy regulations
438, IT resource management
439, Compliance standards
440,IPv6 address format
441, zero suppression in IPv6
442,network security
443, intrusion assessment methods
444, penetration testing
445, self hack audits
446, information warfare
447,Steganography
448,knowledge of public key cryptography
449, understanding of one way functions
450, familiarity with RSA algorithm
451, knowledge of Diffie Hellman key exchange
452,firewall types
453, TCP
454, UDP
455, ICMP packet inspection
456, security policies
457,backup types
458, computer file management
459,cybersecurity principles
460, importance of security culture
461, role of users in security
462, responsibilities in cybersecurity
463,knowledge of computer networking protocols
464, understanding of TCP/IP model
465, familiarity with TCP and UDP characteristics
466,knowledge of web security protocols
467, understanding of encryption methods
468, familiarity with common web traffic protocols
469,vulnerability assessment
470, network security
471, cybersecurity
472,cybersecurity principles
473, risk management concepts
474,Knowledge of security principles
475, Understanding of access control
476, Familiarity with security practices
477,knowledge of US cybersecurity laws
478, familiarity with the Computer Fraud and Abuse Act
479,knowledge of digital certificate management
480, understanding of security protocols
481,LAN transmission methods
482, Network communication protocols
483,fire suppression systems
484, computer facility requirements
485, water based fire suppression systems
486,network security
487, encryption
488, secure communication protocols
489,Understanding of cloud computing models
490, Knowledge of SaaS concept
491, Familiarity with on demand services
492,Storage Area Network (SAN) definition
493, Network architecture
494, Data storage systems
495,knowledge of different types of ciphers
496, understanding of substitution cipher characteristics
497,Knowledge of Windows security features
498, Understanding of administrative rights and user privileges
499, Awareness of security risks associated with user errors
500,VLAN (Virtual Local Area Network) basics
501, VLAN segmentation concepts
502, VLAN security principles
503,Knowledge of data security concepts
504, Understanding of encryption principles
505, Awareness of data protection methods
506, Familiarity with network security terms
507,DKIM (DomainKeys Identified Mail) protocol
508, DKIM signature fields
509,Knowledge of IT security practices
510, Understanding of intrusion detection systems
511, Familiarity with automated log analysis tools
512, Awareness of end user reporting procedures
513,knowledge of computational complexity
514, understanding of factorization algorithms
515, classical computer limitations
516, quantum computing basics
517, Shor\s algorithm
518,knowledge of security testing methods
519, understanding of penetration testing
520,RSA encryption
521, Eulers totient function
522, Properties of prime numbers
523, Binary representation
524,information security principles
525, organizational responsibility structures
526, policies and procedures for information management
527,AES block size
528, AES 192 characteristics
529,IPv6 addressing
530, Loopback address concept
531,IoT security standards
532, ETSI (European Telecommunications Standards Institute)
533, IEEE (Institute of Electrical and Electronics Engineers)
534, NIST (National Institute of Standards and Technology)
535, IETF (Internet Engineering Task Force)
536,Cybersecurity practices
537, Multi factor authentication
538, Software patch management
539, Password security
540, Data encryption
541,Military communications
542, Transmission systems
543, Fiber optic technology
544, Underwater communication
545, Low probability of intercept (LPI) technology
546, High frequency satellite communication
547,PCI DSS requirements
548, Security awareness program components
549, Threats and vulnerabilities
550, End user technologies
551, Third party service providers
552,Operating systems
553, Memory management
554, W⊕X memory policy
555,Understanding of security systems
556, Knowledge of vulnerabilities
557, Experience with ethical hacking techniques
558,Computer forensics
559, Data hiding principles
560, Digital evidence handling
561,IT security
562, system design
563, implementation processes
564,knowledge of terrorist tactics
565, understanding of global security threats
566,knowledge of cybersecurity concepts
567, understanding of multi factor authentication
568, awareness of security best practices
569,malicious code characteristics
570, sandbox limitations
571, computer security concepts
572,Understanding of IP addressing
573, Knowledge of private vs public IP addresses
574, Concept of network security and privacy
575,knowledge of network security
576, understanding of cyber attacks
577,network security policies
578, vulnerability assessment
579, threat blocking strategies
580, reactive security measures
581, network device and application control
582,Cybersecurity principles
583, Cross Site Scripting (XSS)
584,knowledge of UNIX file system operations
585, understanding of system recovery processes
586, familiarity with integrity verification methods
587,Principle of least privilege
588,OSI model layers
589, Session layer function
590,knowledge of distributed systems
591, understanding of network architecture
592, experience with content delivery networks
593, awareness of caching mechanisms
594,  familiarity with load balancing techniques
595, knowledge of cloud computing models
596,knowledge of common cybersecurity attack types
597,Cryptography
598, Hash functions
599, MD5 algorithm
600, SHA1 algorithm
601, SHA3 algorithm
602,Incident response process phases
603, Cybersecurity fundamentals
604,knowledge of cybersecurity
605, understanding of software vulnerabilities
606, awareness of zero day concepts
607,administrative controls
608, user authorization processes
609, computer access management
610,Two factor authentication
611, Authentication methods
612, Biometric authentication
613,Understanding of user behavior
614, Knowledge of effective communication strategies
615, Awareness of potential data loss scenarios
616, Familiarity with backup processes
617,Virtualization concepts
618, Hypervisor functions
619, Cloud computing basics
620, Data encryption
621,Smartcard technology
622, Voltage multiplier circuits
623, EEPROM functionality and vulnerabilities
624, Power analysis attacks
625, Physical probing attacks
626, Clock frequency detection
627,Understanding of network protocols
628, Knowledge of IP addressing
629, Familiarity with MAC addresses
630, Awareness of IP to MAC address resolution process
631,Knowledge of network protocols
632, Understanding of ICMP function
633,Computer security terminology
634, Types of malware
635,Disaster recovery concepts
636, Recovery Time Objective (RTO) definition
637,Literature
638, English language
639, Novel writing
640,security principles
641, computer security
642, software security
643,security principles
644, responsibilities of system owners
645, data ownership
646, confidentiality concepts
647, integrity concepts
648, availability concepts
649,Knowledge of log importance in incident detection
650, Understanding of legal and regulatory compliance requirements
651,802.11 wireless standard
652, Temporal Key Integrity Protocol (TKIP)
653, symmetric key generation
654, strong encryption methods
655, Advanced Encryption Standard (AES)
656, RC4
657, WEP
658, RADIUS server
659,Security as a Service
660, cloud computing
661, cloud service provider
662,Knowledge of C.I.A. principles in information security
663, Understanding of the meanings behind C.I.A. attributes (confidentiality
664, integrity
665, availability)
666,IPv6 address format
667, Bit structure of IP addresses
668,knowledge of information security practices
669, understanding of regulatory compliance
670, familiarity with access control principles
671,Understanding of information security principles
672, Knowledge of integrity in cybersecurity
673,WordPress security tools
674, Enumeration techniques for WordPress
675, wpscan features
676,Knowledge of information security concepts
677, Understanding of cryptographic methods
678,Social engineering techniques
679, Cybersecurity practices
680,Unix systems
681, packet capture tools
682, tshark
683, tcpdump
684, Wireshark
685,firewall security
686, administrative account management
687, network security practices
688,mobile communications technologies
689, cellular networks
690, wireless communication standards
691,security concepts
692, engineering principles
693, cybersecurity fundamentals
694,knowledge of security measures
695, understanding of data protection techniques
696, familiarity with encryption
697, awareness of biometric authentication
698, knowledge of physical security devices
699, understanding of access control systems
700,Knowledge of fire suppression systems
701, Understanding of gas based fire suppression mechanisms
702,knowledge of security structures
703, understanding of barrier functions
704,brute force attack
705, time complexity
706, attack effectiveness
707, offline attack
708, online attack
709,Padded cell systems
710, Intrusion detection systems
711, Security isolation techniques
712,knowledge of information security concepts
713, understanding of security frameworks
714,OSI model layers
715, Data encoding concepts
716,cybersecurity basics
717, common security measures
718, firewall function
719,Cybersecurity concepts
720, CIA triad components
721,FTP security vulnerabilities
722, FTP protocol weaknesses
723, network security concepts
724, encryption methods
725,knowledge of mobile device security
726, understanding of security policies
727, awareness of security risks in mobile computing
728,knowledge of cybersecurity
729, understanding of penetration testing
730, vulnerability assessment techniques
731,Network security concepts
732, Types of intrusion detection systems
733, Differences between HIDS and NIDS
734, Differences between HIPS and NIPS
735,Knowledge of host based Intrusion Detection Systems (IDS)
736, Understanding of network monitoring techniques
737, Awareness of network switching technologies
738,malicious software concepts
739, virus types and characteristics
740,Penetration testing concepts
741, Cybersecurity fundamentals
742, Vulnerability assessment techniques
743,network adapters
744, network modes
745, intrusion detection systems
746, network traffic monitoring
747,knowledge of DoS attacks
748, understanding of network protocols
749, familiarity with common attack vectors
750,IPsec encryption knowledge
751, Secret key algorithms
752,forensic investigation techniques
753, computer memory types and functions
754, volatile vs non volatile memory
755,knowledge of legal and ethical frameworks
756, understanding of non disclosure agreements
757, awareness of security audit processes
758,X.509 certificate format
759, Authority Key Identifier extension
760,Understanding of software lifecycle
761, Knowledge of security best practices
762, Familiarity with update and patch processes
763, Awareness of common vulnerabilities
764,knowledge of security practices
765, understanding of compliance measures
766,Knowledge of cybersecurity
767, Understanding of evolving technologies
768, Awareness of changing risk landscapes
769, Familiarity with security best practices
770,knowledge of wireless networking
771, understanding of authentication protocols
772, familiarity with network services and their ports
773,knowledge of CIDR notation
774, understanding of subnet masks
775,knowledge of cybersecurity attack types
776, understanding of password security
777,Knowledge of network security concepts
778, Understanding of IDS functions
779,Information Security Management Systems
780, ISMS components
781, Enterprise information security baselines
782,RAID levels
783, Fault tolerance in RAID
784,SHA 512 hash function
785, Length of SHA 512 output
786,Principle of least privilege
787,cybersecurity concepts
788, authentication processes
789,Knowledge of the SEI Software Capability Maturity Model
790, Understanding of software development process improvement
791, Familiarity with organizational software process maturity concepts
792,Knowledge of different types of cyber attacks
793, Understanding of physical security in computing systems
794, Awareness of signal interception techniques
795,knowledge of cybersecurity
796, understanding of kernel level operations
797, awareness of RootKit functions
798, familiarity with system administration
799,security concepts
800, cybersecurity principles
801, information security goals
802,Database fundamentals
803, Primary key concepts
804,security principles
805, computer security
806,ITIL framework
807, Change management process
808, Business impact analysis
809,Network security concepts
810, Data transmission security methods
811, FTP protocol limitations
812, VPN technology
813, IPS functionality
814, Antivirus software capabilities
815,penetration testing
816, reporting standards
817, vulnerability assessment
818, cybersecurity
819,knowledge of email monitoring policies
820, understanding of employee rights and privacy
821, awareness of legal and regulatory requirements for workplace communications
822,Knowledge of information security management principles
823, Understanding of management commitment in security programs
824, Awareness of the importance of continuous involvement
825,Knowledge of NIST publications related to cryptography
826, Understanding of elliptic curve cryptography standards
827,Understanding of security clearance concepts
828, Knowledge of authorization and need to know principles
829, Familiarity with information classification levels
830,AES S Box
831, AES encryption
832,IPv6 address structure
833, Subnet masking in IPv6
834,cybersecurity principles
835, internet privacy
836, online behavior and its implications
837,Kerberos protocol
838, TGS (Ticket Granting Server)
839, service tickets
840, security token
841, time synchronization
842,Understanding of human psychology
843, Knowledge of security awareness
844, Experience with social interactions
845,knowledge of cryptographic functions
846, understanding of modular arithmetic
847, familiarity with exponentiation algorithms
848,SageMath
849, modular arithmetic
850, exponentiation
851, fast algorithms
852,IPsec
853, Security Parameters Index (SPI)
854, Security Association (SA)
855, AH (Authentication Header)
856, ESP (Encapsulating Security Payload)
857,knowledge of power grid vulnerabilities
858, understanding of information warfare tactics
859, awareness of potential cascading effects in critical infrastructure
860, economic impact assessment skills
861, consequences of cyberattacks on national security
862,knowledge of common network protocols and their default port numbers
863, understanding of syslog and its purpose
864,Security auditing
865, Vulnerability assessment
866,Understanding of crisis management
867, Knowledge of public relations
868, Familiarity with organizational communication strategies
869,knowledge of web security
870, understanding of bot detection methods
871, familiarity with online security terms
872,Configuration Management knowledge
873, IT Infrastructure Management
874,Knowledge of Public Key Infrastructure (PKI)
875, Understanding of digital certificates
876, Familiarity with Certificate Authorities
877,Understanding of network protocols
878, Knowledge of ICMP function
879, Basics of network communication
880,Operating System Security
881, Vulnerability Assessment
882, Security Hardening Techniques
883,Unix security concepts
884, Shadow file purpose
885, Password storage methods
886,Knowledge of file types commonly targeted by malware
887, Understanding of Microsoft Office application file formats
888, Awareness of different computer virus infection vectors
889,Knowledge of business continuity management standards
890, Familiarity with BS 25999 standard
891,knowledge of cybersecurity threats
892, understanding of attack methodologies
893,information security principles
894, organizational governance structures
895, roles and responsibilities in information security
896,network topologies
897, redundancy concepts
898,web mirroring tools
899, footprinting techniques
900,Software development lifecycle
901, Version control systems
902, Data integrity
903,knowledge of authentication factors
904, understanding of physical security tokens
905,security concepts
906, physical security
907, logical security
908, access control
909, sensitive data protection
910,vulnerability scanning
911, network security
912, common vulnerability scanners
913,knowledge of computer crime classifications
914, understanding of DDoS attack mechanics
915,knowledge of IPsec
916, understanding of VPN tunneling techniques
917, awareness of traffic analysis threats
918, knowledge of IP header encryption
919,Knowledge of cybersecurity models
920, Understanding of data security concepts
921, Familiarity with Bell LaPadula model principles
922,Cryptography
923, Encryption
924, Decryption
925, Algorithms
926,Buffer overflow
927, Computer security
928, Stack memory
929,Symmetric encryption schemes
930, SRTP (Secure Real time Transport Protocol)
931, Block cipher modes of operation
932, Authentication encryption modes
933,Windows operating system security principles
934, Administrator account role and importance
935, Default account configurations in Windows
936,knowledge of software development processes
937, understanding of open source software
938, familiarity with software security concepts
939,knowledge of wireless communication technologies
940, understanding of transmission media types
941,knowledge of cybersecurity practices
942, understanding of payment security
943, experience with system monitoring techniques
944,IT security principles
945, Managements role in corporate security
946, Security awareness program components
947, Patch management
948,Information security best practices
949, Awareness programs
950, Training methodologies
951, Communication strategies
952,Processor architectures
953, Embedded systems
954, Mobile phone technology
955, Consumer electronics
956,Network security concepts
957, Authentication protocols
958, RADIUS protocol
959, TACACS protocol
960,Risk management principles
961, ALARP principle
962, Risk acceptance concept
963,encryption methods
964, data security
965, symmetric vs asymmetric encryption
966,knowledge of discrete logarithm
967, understanding of cryptographic security
968, familiarity with elliptic curve cryptography
969, awareness of prime number selection
970, knowledge of bit length requirements for cryptographic keys
971,Web Application Firewall
972, cybersecurity
973, security threats
974, web applications
975,WLAN security
976, WPA2 encryption
977, default SSID
978, 2.4GHz vs 5GHz frequency bands
979,Cryptography
980, Symmetric encryption
981, One time pad characteristics
982,Biometrics
983, User privacy rights
984, Consent in technology
985,knowledge of cybersecurity terms
986, understanding of common cyber threats
987,Web application security
988, Input validation techniques
989, Database manipulation prevention methods
990, Buffer overflow concepts
991,knowledge of access control mechanisms
992, understanding of database security concepts
993, familiarity with data classification and content analysis
994,Knowledge of interprocess communication methods
995, Understanding of network services and protocols
996,Cryptography
997, Nonce
998, Replay Attacks
999,knowledge of database types
1000, understanding of JSON structure
1001,PCI DSS (Payment Card Industry Data Security Standard)
1002, Segmentation in cybersecurity
1003, Scope management in PCI DSS
1004,knowledge of email server security
1005, understanding of antivirus software
1006, awareness of email protocols (IMAP
1007, POP)
1008, firewall configuration
1009,computer networking
1010, virus propagation methods
1011, worm characteristics
1012,Payment Card Industry Data Security Standard (PCI DSS)
1013, Organizational risk management
1014, Compensating controls
1015, Technical and business constraints
1016, Annual PCI DSS assessment process
1017, Ongoing monitoring of controls
1018,Understanding of system security requirements
1019, Knowledge of potential threats and vulnerabilities
1020, Familiarity with security measures
1021, Awareness of system architecture
1022,knowledge of password security principles
1023, understanding of password expiration policies
1024, awareness of password complexity requirements
1025, understanding of account lockout mechanisms
1026,domain analysis
1027, common phishing tactics
1028, DNS security
1029,Cybersecurity fundamentals
1030, Server enumeration techniques
1031, Network security concepts
1032,Understanding of web application security
1033, Knowledge of SQL injection and other injection techniques
1034,  Familiarity with server side programming vulnerabilities
1035,IEEE 802.1x standard
1036, Access control technologies
1037, Wired and wireless LAN security
1038,Database management
1039, SQL panel operations
1040,cryptographic algorithms
1041, asymmetric cryptography
1042, hybrid cryptosystems
1043, RSA
1044,Network scanning
1045, TCP/IP protocols
1046, Port states
1047,OSI model
1048, Physical layer
1049,knowledge of cryptographic principles
1050, understanding of entropy in cryptography
1051, familiarity with computational indistinguishability
1052,knowledge of software security techniques
1053, understanding of malware analysis
1054, binary application analysis
1055,network security model
1056, security techniques components
1057,Cryptography
1058, Network security concepts
1059,knowledge of computer viruses
1060, understanding of boot sectors
1061, familiarity with floppy disk structure
1062,knowledge of security incident response processes
1063, understanding of incident recovery objectives
1064, familiarity with cybersecurity best practices
1065,Understanding of mobile device operations
1066, Knowledge of Android operating system
1067, Awareness of security measures on mobile devices
1068,DoS attacks
1069, ICMP Echo requests
1070, broadcast IP addresses
1071, spoofing techniques
1072, network security
1073,Software development knowledge
1074, Understanding of software engineering terms
1075,Network security concepts
1076, LAN and WAN fundamentals
1077, Firewall and perimeter protection
1078, DMZ architecture
1079, VLAN functionality
1080,Healthcare data privacy
1081, Data security in healthcare
1082, Privacy laws and regulations
1083, Ethical considerations in data aggregation
1084,Information security policies and procedures
1085, Industry security trends
1086, Documentation practices
1087, Organizational compliance
1088, User awareness
1089,Understanding of networked systems
1090, Knowledge of time synchronization protocols
1091, Awareness of log file analysis
1092, Concepts of system performance optimization
1093, Knowledge of file management practices
1094,knowledge of access control models
1095, understanding of firewall functions
1096,Understanding of cybersecurity principles
1097, Knowledge of access control
1098, Familiarity with user privileges
1099,network security
1100, cybersecurity concepts
1101, honeypot technology
1102,knowledge of software development
1103, understanding of source code
1104, awareness of software protection techniques
1105, familiarity with reverse engineering
1106,DNS knowledge
1107,knowledge of software security testing techniques
1108, understanding of dynamic analysis methods
1109,knowledge of computer worms
1110, understanding of major computer security incidents
1111, awareness of cybersecurity events in 2001
1112,Knowledge of TCSEC (Trusted Computer System Evaluation Criteria) framework
1113,network security
1114, cybersecurity concepts
1115, types of cyber attacks
1116,Knowledge of physical security measures
1117, Understanding of security components
1118,Knowledge of different programming paradigms
1119, Understanding of object oriented programming concepts
1120,knowledge of ethical hacking
1121, understanding of forensic techniques
1122, awareness of legal and ethical standards in cybersecurity
1123,PCI DSS 4.0 requirements
1124, change detection mechanisms
1125, cybersecurity compliance
1126,Knowledge of TCP/IP protocol suite
1127, Understanding of IP header function
1128, Concept of packet addressing and routing
1129,network security
1130, cybersecurity
1131, login attempts
1132, unsuccessful login attempts
1133, symptoms of network intrusion
1134,knowledge of security protocols
1135, understanding of mobile application security
1136, familiarity with e commerce security
1137, awareness of TLS standards
1138, knowledge of PKI
1139, understanding of mobile communication protocols
1140, awareness of WAP
1141, knowledge of WEP
1142,Penetration testing
1143, Network security services
1144, Certifications
1145,definition of physical security
1146, examples of physical security measures
