KSAT ID,0,1,2,3,4,5,6,7,8,Statement Description
K0059,0,0,0,0,1,0,0,0,0,Knowledge of new and emerging information technology (IT) and cybersecurity technologies
K0060,0,1,0,0,0,0,0,0,0,Knowledge of operating systems
K0061,0,0,0,0,1,0,0,0,0,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL])"
K0062,0,0,0,0,1,0,0,0,0,Knowledge of packet-level analysis
K0063,0,0,0,0,1,0,0,0,0,Knowledge of parallel and distributed computing concepts
K0064,0,0,0,0,0,0,0,1,0,Knowledge of performance tuning tools and techniques
K0065,0,1,0,0,0,0,0,0,0,Knowledge of policy-based and risk adaptive access controls
K0066,0,0,0,0,0,0,0,0,1,Knowledge of Privacy Impact Assessments
K0067,0,0,0,0,0,1,0,0,0,Knowledge of process engineering concepts
K0068,0,0,1,0,0,0,0,0,0,Knowledge of programming language structures and logic
K0069,1,0,0,0,0,0,0,0,0,Knowledge of query languages such as SQL (structured query language)
K0070,0,0,0,0,0,1,0,1,0,"Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code)"
K0071,0,0,0,0,1,0,0,1,0,Knowledge of remote access technology concepts
K0072,0,0,0,0,0,0,0,1,0,Knowledge of resource management principles and techniques
K0073,0,0,0,0,0,0,0,1,0,"Knowledge of secure configuration management techniques. (e.g., Security Technical Implementation Guides (STIGs), cybersecurity best practices on cisecurity.org)"
K0074,0,0,1,0,0,1,0,0,0,"Knowledge of key concepts in security management (e.g., Release Management, Patch Management)"
K0075,0,0,0,1,0,0,0,0,0,"Knowledge of security system design tools, methods, and techniques"
K0076,0,0,0,0,0,1,0,1,0,"Knowledge of server administration and systems engineering theories, concepts, and methods"
K0077,0,0,0,0,1,0,0,0,0,Knowledge of server and client operating systems
K0078,0,0,0,0,0,0,0,1,0,Knowledge of server diagnostic tools and fault identification techniques
K0079,0,0,1,0,0,0,0,0,0,Knowledge of software debugging principles
K0080,0,0,1,0,0,0,0,0,0,"Knowledge of software design tools, methods, and techniques"
K0081,0,0,1,0,0,0,0,0,0,"Knowledge of software development models (e.g., Waterfall Model, Spiral Model)"
K0082,0,0,1,0,0,0,0,0,0,Knowledge of software engineering
K0083,0,0,0,0,0,0,0,1,0,"Knowledge of sources, characteristics, and uses of the organization’s data assets"
K0084,0,0,0,0,0,0,0,1,0,Knowledge of structured analysis principles and methods
K0086,0,0,0,0,0,0,0,1,0,"Knowledge of system design tools, methods, and techniques, including automated systems analysis and design tools"
K0087,0,0,1,0,0,1,0,0,0,"Knowledge of system software and organizational design standards, policies, and authorized approaches (e.g., International Organization for Standardization [ISO] guidelines) relating to system design"
K0088,0,0,0,0,0,0,0,1,0,Knowledge of systems administration concepts
K0089,0,0,0,0,0,0,0,1,0,Knowledge of systems diagnostic tools and fault identification techniques
K0090,0,0,0,0,0,0,0,1,0,"Knowledge of system life cycle management principles, including software security and usability"
K0091,0,0,0,0,0,1,0,0,0,Knowledge of systems testing and evaluation methods
K0092,1,0,0,0,0,0,0,0,0,Knowledge of technology integration processes
K0093,1,0,0,0,0,0,0,0,0,"Knowledge of telecommunications concepts (e.g., Communications channel, Systems Link Budgeting, Spectral efficiency, Multiplexing)"
K0094,1,0,0,0,0,0,0,0,0,"Knowledge of the capabilities and functionality associated with content creation technologies (e.g., wikis, social networking, content management systems, blogs)"
K0095,1,0,0,0,0,0,0,0,0,"Knowledge of the capabilities and functionality associated with various technologies for organizing and managing information (e.g., databases, bookmarking engines)"
K0096,1,0,0,0,0,0,0,0,0,"Knowledge of the capabilities and functionality of various collaborative technologies (e.g., groupware, SharePoint)"
K0097,0,0,0,0,0,0,0,1,0,Knowledge of the characteristics of physical and virtual data storage media
K0098,0,0,0,0,0,0,1,0,0,Knowledge of the cyber defense Service Provider reporting structure and processes within one’s own organization
K0100,1,0,0,0,0,0,0,0,0,Knowledge of the enterprise information technology (IT) architecture
K0101,0,0,0,0,0,0,0,1,0,Knowledge of the organization’s enterprise information technology (IT) goals and objectives
K0102,0,0,0,0,0,1,0,0,0,Knowledge of the systems engineering process
K0103,0,0,0,0,1,0,0,0,0,Knowledge of the type and frequency of routine hardware maintenance
K0104,0,1,0,0,0,0,0,0,0,Knowledge of Virtual Private Network (VPN) security
K0105,0,0,0,0,1,0,0,0,0,"Knowledge of web services (e.g., service-oriented architecture, Simple Object Access Protocol, and web service description language)"
K0106,0,0,0,0,1,0,0,0,0,Knowledge of what constitutes a network attack and a network attack’s relationship to both threats and vulnerabilities
K0107,0,0,0,0,0,1,0,1,0,"Knowledge of Insider Threat investigations, reporting, investigative tools and laws/regulations"
K0108,0,0,0,0,1,0,0,0,0,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless)"
K0109,0,0,0,0,1,0,0,0,0,"Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage)"
K0110,1,0,0,0,0,0,0,0,0,"Knowledge of adversarial tactics, techniques, and procedures"
K0111,0,0,0,0,0,0,0,1,0,"Knowledge of network tools (e.g., ping, traceroute, nslookup)"
K0112,0,0,0,0,1,0,0,0,0,Knowledge of defense-in-depth principles and network security architecture
K0113,0,0,0,0,1,0,0,0,0,"Knowledge of different types of network communication (e.g., LAN, WAN, MAN, WLAN, WWAN)"
K0114,1,0,0,0,0,0,0,0,0,"Knowledge of electronic devices (e.g., computer systems/components, access control devices, digital cameras, digital scanners, electronic organizers, hard drives, memory cards, modems, network components, networked appliances, networked home control devices, printers, removable storage devices, telephones, copiers, facsimile machines, etc.)"
K0115,1,0,0,0,0,0,0,0,0,Knowledge that technology that can be exploited
K0116,1,0,0,0,0,0,0,0,0,"Knowledge of file extensions (e.g., .dll, .bat, .zip, .pcap, .gzip)"
K0117,1,0,0,0,0,0,0,0,0,"Knowledge of file system implementations (e.g., New Technology File System [NTFS], File Allocation Table [FAT], File Extension [EXT])"
K0118,0,1,0,0,0,0,0,0,1,Knowledge of processes for seizing and preserving digital evidence
K0119,0,1,0,0,0,0,0,0,0,Knowledge of hacking methodologies
K0120,1,0,0,0,0,0,0,0,0,"Knowledge of how information needs and collection requirements are translated, tracked, and prioritized across the extended enterprise"
K0121,0,0,0,0,0,0,0,1,0,Knowledge of information security program management and project management principles and techniques
K0122,0,1,0,0,0,0,0,0,0,"Knowledge of investigative implications of hardware, Operating Systems, and network technologies"
K0123,0,1,0,0,0,0,0,0,0,Knowledge of legal governance related to admissibility (e.g. Rules of Evidence)
K0124,1,0,0,0,0,0,0,0,0,Knowledge of multiple cognitive domains and tools and methods applicable for learning in each domain
K0125,0,1,0,0,0,0,0,0,1,"Knowledge of processes for collecting, packaging, transporting, and storing electronic evidence while maintaining chain of custody"
K0126,0,0,0,1,0,0,0,0,0,Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161)
K0127,0,0,0,0,0,0,0,1,0,"Knowledge of the nature and function of the relevant information structure (e.g., National Information Infrastructure)"
K0128,0,1,0,0,0,0,0,0,0,Knowledge of types and collection of persistent data
K0129,1,0,0,0,0,0,0,0,0,"Knowledge of command-line tools (e.g., mkdir, mv, ls, passwd, grep)"
K0130,0,0,0,0,0,1,0,0,0,Knowledge of virtualization technologies and virtual machine development and maintenance
K0131,0,1,0,0,0,0,0,0,0,"Knowledge of web mail collection, searching/analyzing techniques, tools, and cookies"
K0132,0,1,0,0,0,0,0,0,0,"Knowledge of which system files (e.g., log files, registry files, configuration files) contain relevant information and where to find those system files"
K0133,0,1,0,0,0,0,0,0,0,Knowledge of types of digital forensics data and how to recognize them
K0134,0,1,0,0,0,0,0,0,0,Knowledge of deployable forensics
K0135,1,0,0,0,0,0,0,0,0,Knowledge of web filtering technologies
K0136,1,0,0,0,0,0,0,0,0,"Knowledge of the capabilities of different electronic communication systems and methods (e.g., e-mail, VOIP, IM, web forums, Direct Video Broadcasts)"
K0137,0,0,0,0,0,0,0,1,0,"Knowledge of the range of existing networks (e.g., PBX, LANs, WANs, WIFI, SCADA)"
K0138,1,0,0,0,0,0,0,0,0,Knowledge of Wi-Fi
K0139,0,0,1,0,0,0,0,0,0,Knowledge of interpreted and compiled computer languages
K0140,0,0,1,0,0,0,0,0,0,Knowledge of secure coding techniques
K0142,1,0,0,0,0,0,0,0,0,"Knowledge of collection management processes, capabilities, and limitations"
K0143,1,0,0,0,0,0,0,0,0,"Knowledge of front-end collection systems, including traffic collection, filtering, and selection"
K0144,1,0,0,0,0,0,0,0,0,Knowledge of social dynamics of computer attackers in a global context
K0145,0,1,0,0,0,0,0,0,0,Knowledge of security event correlation tools
K0146,1,0,0,0,0,0,0,0,0,Knowledge of the organization's core business/mission processes
K0147,0,0,0,0,0,0,0,1,0,"Knowledge of emerging security issues, risks, and vulnerabilities"
K0148,0,0,0,1,0,0,0,0,0,Knowledge of import/export control regulations and responsible agencies for the purposes of reducing supply chain risk
K0149,0,0,0,0,0,0,0,1,0,Knowledge of organization's risk tolerance and/or risk management approach
K0150,0,0,0,0,0,0,0,1,0,"Knowledge of enterprise incident response program, roles, and responsibilities"
K0151,0,0,0,0,0,0,0,1,0,Knowledge of current and emerging threats/threat vectors
K0152,0,0,1,0,0,0,0,0,0,"Knowledge of software related information technology (IT) security principles and methods (e.g., modularization, layering, abstraction, data hiding, simplicity/minimization)"
K0153,0,0,1,0,0,0,0,0,0,Knowledge of software quality assurance process
K0154,0,0,0,1,0,0,0,0,0,"Knowledge of supply chain risk management standards, processes, and practices"
K0155,0,0,0,0,0,0,0,0,1,Knowledge of electronic evidence law
K0156,0,0,0,0,0,0,0,0,1,Knowledge of legal rules of evidence and court procedure
K0157,0,0,0,0,0,0,0,0,1,"Knowledge of cyber defense and information security policies, procedures, and regulations"
K0158,0,0,0,0,0,0,0,1,0,"Knowledge of organizational information technology (IT) user security policies (e.g., account creation, password rules, access control)"
K0159,1,0,0,0,0,0,0,0,0,Knowledge of Voice over IP (VoIP)
K0160,0,1,0,0,0,0,0,0,0,Knowledge of the common attack vectors on the network layer
K0161,0,0,0,0,1,1,0,0,0,"Knowledge of different classes of attacks (e.g., passive, active, insider, close-in, distribution attacks)"
K0162,1,0,0,0,0,0,0,0,0,"Knowledge of cyber attackers (e.g., script kiddies, insider threat, non-nation state sponsored, and nation sponsored)"
K0163,1,0,0,0,0,0,0,0,0,Knowledge of critical information technology (IT) procurement requirements
K0164,0,0,0,1,0,0,0,0,0,"Knowledge of functionality, quality, and security requirements and how these will apply to specific items of supply (i.e., elements and processes)"
K0165,0,0,0,0,0,0,0,1,0,Knowledge of risk/threat assessment
K0167,0,0,0,0,0,0,0,1,0,"Knowledge of system administration, network, and operating system hardening techniques"
K0168,1,0,0,0,0,0,0,0,0,"Knowledge of applicable laws, statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures"
K0169,0,0,0,0,0,0,0,1,0,"Knowledge of information technology (IT) supply chain security and supply chain risk management policies, requirements, and procedures"
K0170,1,0,0,0,0,0,0,0,0,Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations
K0171,0,0,0,1,0,0,0,0,0,Knowledge of hardware reverse engineering techniques
K0172,0,0,0,0,0,0,0,1,0,"Knowledge of middleware (e.g., enterprise service bus and message queuing)"
K0174,0,0,0,0,1,0,0,0,0,Knowledge of networking protocols
K0175,0,0,0,1,0,0,0,0,0,Knowledge of software reverse engineering techniques
K0176,1,0,0,0,0,0,0,0,0,Knowledge of Extensible Markup Language (XML) schemas
K0177,1,0,0,0,0,0,0,0,0,"Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks)"
K0178,0,0,1,0,0,0,0,0,0,"Knowledge of secure software deployment methodologies, tools, and practices"
K0179,0,0,0,0,1,0,0,0,0,"Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth)"
K0180,0,0,0,0,0,1,0,0,0,"Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools"
K0182,0,1,0,0,0,0,0,0,0,"Knowledge of data carving tools and techniques (e.g., Foremost)"
K0183,0,0,0,1,0,0,0,0,0,Knowledge of reverse engineering concepts
K0184,0,1,0,0,0,0,0,0,0,"Knowledge of anti-forensics tactics, techniques, and procedures"
K0185,0,1,0,0,0,0,0,0,0,"Knowledge of forensics lab design configuration and support applications (e.g., VMWare, Wireshark)"
K0186,1,0,0,0,0,0,0,0,0,Knowledge of debugging procedures and tools
K0187,1,0,0,0,0,0,0,0,0,Knowledge of file type abuse by adversaries for anomalous behavior
K0188,0,0,1,0,0,0,0,0,0,"Knowledge of malware analysis tools (e.g., Oily Debug, Ida Pro)"
K0189,0,1,0,0,0,0,0,0,0,"Knowledge of malware with virtual machine detection (e.g. virtual aware malware, debugger aware malware, and unpacked malware that looks for VM-related strings in your computer’s display device)"
K0190,0,1,0,0,0,0,0,0,0,Knowledge of encryption methodologies
K0191,0,1,0,0,0,0,0,0,0,"Knowledge of signature implementation impact for viruses, malware, and attacks"
K0192,0,0,0,0,1,0,0,0,0,Knowledge of Windows/Unix ports and services
K0193,0,0,0,0,0,0,0,1,0,Knowledge of advanced data remediation security features in databases
K0194,0,0,0,0,1,0,0,0,0,"Knowledge of Cloud-based knowledge management technologies and concepts related to security, governance, procurement, and administration"
K0195,0,0,0,0,0,0,0,1,0,Knowledge of data classification standards and methodologies based on sensitivity and other risk factors
K0196,0,0,0,0,0,0,0,1,0,Knowledge of Import/Export Regulations related to cryptography and other security technologies
K0197,0,0,0,0,0,0,0,1,0,"Knowledge of database access application programming interfaces (e.g., Java Database Connectivity [JDBC])"
K0198,1,0,0,0,0,0,0,0,0,"Knowledge of organizational process improvement concepts and process maturity models (e.g., Capability Maturity Model Integration (CMMI) for Development, CMMI for Services, and CMMI for Acquisitions)"
K0199,0,0,0,0,0,1,0,0,0,"Knowledge of security architecture concepts and enterprise architecture reference models (e.g., Zachman, Federal Enterprise Architecture [FEA])"
K0200,1,0,0,0,0,0,0,0,0,"Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL])"
K0201,0,1,0,0,0,0,0,0,0,Knowledge of symmetric key rotation techniques and concepts
K0202,0,1,0,0,1,0,0,0,0,"Knowledge of the application firewall concepts and functions (e.g., Single point of authentication/audit/policy enforcement, message scanning for malicious content, data anonymization for PCI and PII compliance, data loss protection scanning, accelerated cryptographic operations, SSL security, REST/JSON processing)"
K0203,0,0,0,0,0,1,0,0,0,"Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model)"
K0204,1,0,0,0,0,0,0,0,0,"Knowledge of learning assessment techniques (rubrics, evaluation plans, tests, quizzes)"
K0205,0,0,0,0,1,0,0,1,0,"Knowledge of basic system, network, and OS hardening techniques"
K0206,0,0,0,0,0,0,0,0,1,Knowledge of ethical hacking principles and techniques
K0207,0,0,0,1,0,0,0,0,0,Knowledge of circuit analysis
K0208,0,0,0,0,0,0,1,0,0,Knowledge of computer based training and e-learning services
K0209,1,0,0,0,0,0,0,0,0,Knowledge of covert communication techniques
K0210,0,0,0,0,0,0,0,1,0,Knowledge of data backup and restoration concepts
K0211,0,0,0,0,0,1,0,0,0,"Knowledge of confidentiality, integrity, and availability requirements"
K0212,0,0,0,0,0,0,0,1,0,Knowledge of cybersecurity-enabled software products
K0213,1,0,0,0,0,0,0,0,0,"Knowledge of instructional design and evaluation models (e.g., ADDIE, Smith/Ragan model, Gagne’s Events of Instruction, Kirkpatrick’s model of evaluation)"
K0214,0,0,0,0,0,0,0,1,0,Knowledge of the Risk Management Framework Assessment Methodology
K0215,0,0,0,0,0,0,0,1,0,Knowledge of organizational training policies
K0216,1,0,0,0,0,0,0,0,0,"Knowledge of learning levels (i.e., Bloom’s Taxonomy of learning)"
K0217,1,0,0,0,0,0,0,0,0,Knowledge of Learning Management Systems and their use in managing learning
K0218,1,0,0,0,0,0,0,0,0,"Knowledge of learning styles (e.g., assimilator, auditory, kinesthetic)"
K0220,1,0,0,0,0,0,0,0,0,"Knowledge of modes of learning (e.g., rote learning, observation)"
K0221,0,0,0,0,1,0,0,0,0,"Knowledge of OSI model and underlying network protocols (e.g., TCP/IP)"
K0222,0,0,0,0,0,0,0,0,1,"Knowledge of relevant laws, legal authorities, restrictions, and regulations pertaining to cyber defense activities"
K0224,0,0,0,0,0,0,0,1,0,"Knowledge of system administration concepts for operating systems such as but not limited to Unix/Linux, IOS, Android, and Windows operating systems"
K0226,1,0,0,0,0,0,0,0,0,Knowledge of organizational training systems
K0227,0,0,0,0,1,0,0,0,0,Knowledge of various types of computer architectures
K0228,1,0,0,0,0,0,0,0,0,Knowledge of taxonomy and semantic ontology theory
K0229,0,0,0,0,0,1,0,0,0,"Knowledge of applications that can log errors, exceptions, and application faults and logging"
K0230,0,0,0,0,1,0,0,0,0,Knowledge of cloud service models and how those models can limit incident response
K0231,0,0,0,0,0,0,0,1,0,"Knowledge of crisis management protocols, processes, and techniques"
K0233,0,0,0,0,0,0,0,0,1,"Knowledge of the National Cybersecurity Workforce Framework, work roles, and associated tasks, knowledge, skills, and abilities"
K0234,0,0,0,0,0,1,0,0,0,"Knowledge of full spectrum cyber capabilities (e.g., defense, attack, exploitation)"
K0235,1,0,0,0,0,0,0,0,0,"Knowledge of how to leverage research and development centers, think tanks, academic research, and industry systems"
K0236,0,0,0,0,0,0,0,1,0,"Knowledge of how to utilize Hadoop, Java, Python, SQL, Hive, and Pig to explore data"
K0237,1,0,0,0,0,0,0,0,0,Knowledge of industry best practices for service desk
K0238,0,0,0,0,1,0,0,0,0,Knowledge of machine learning theory and principles
K0239,1,0,0,0,0,0,0,0,0,"Knowledge of media production, communication, and dissemination techniques and methods, including alternative ways to inform via written, oral, and visual media"
K0240,0,0,0,0,0,1,0,0,0,Knowledge of multi-level security systems and cross domain solutions
K0241,0,0,0,0,0,0,0,1,0,"Knowledge of organizational human resource policies, processes, and procedures"
K0242,0,0,0,0,0,0,0,1,0,Knowledge of organizational security policies
K0243,1,0,0,0,0,0,0,0,0,"Knowledge of organizational training and education policies, processes, and procedures"
K0244,1,0,0,0,0,0,0,0,0,Knowledge of physical and physiological behaviors that may indicate suspicious or abnormal activity
K0245,1,0,0,0,0,0,0,0,0,Knowledge of principles and processes for conducting training and education needs assessment
K0246,1,0,0,0,0,0,0,0,0,"Knowledge of relevant concepts, procedures, software, equipment, and technology applications"
K0247,0,0,0,0,1,0,0,0,0,"Knowledge of remote access processes, tools, and capabilities related to customer support"
K0248,0,0,0,0,0,0,0,1,0,Knowledge of strategic theory and practice
K0249,1,0,0,0,0,0,0,0,0,"Knowledge of sustainment technologies, processes and strategies"
K0250,0,0,0,1,0,0,0,0,0,Knowledge of Test & Evaluation processes for learners
K0251,0,0,0,0,0,0,0,1,0,"Knowledge of the judicial process, including the presentation of facts and evidence"
K0252,1,0,0,0,0,0,0,0,0,"Knowledge of training and education principles and methods for curriculum design, teaching and instruction for individuals and groups, and the measurement of training and education effects"
K0254,0,0,1,0,0,0,0,0,0,Knowledge of binary analysis
K0255,0,0,0,0,1,0,0,0,0,"Knowledge of network architecture concepts including topology, protocols, and components"
K0257,0,0,0,0,0,0,0,1,0,Knowledge of information technology (IT) acquisition/procurement requirements
K0258,0,0,0,0,0,1,0,0,0,"Knowledge of test procedures, principles, and methodologies (e.g., Capabilities and Maturity Model Integration (CMMI))"
K0259,0,0,1,0,0,0,0,0,0,Knowledge of malware analysis concepts and methodologies
K0260,0,0,1,0,0,0,0,0,0,Knowledge of Personally Identifiable Information (PII) data security standards
K0261,1,0,0,0,0,0,0,0,0,Knowledge of Payment Card Industry (PCI) data security standards
K0262,1,0,0,0,0,0,0,0,0,Knowledge of Personal Health Information (PHI) data security standards
K0263,0,0,0,0,0,0,0,1,0,"Knowledge of information technology (IT) risk management policies, requirements, and procedures"
K0264,0,0,0,0,0,0,0,1,0,"Knowledge of program protection planning (e.g. information technology (IT) supply chain security/risk management policies, anti-tampering techniques, and requirements)"
K0265,0,0,0,0,0,0,0,1,0,"Knowledge of infrastructure supporting information technology (IT) for safety, performance, and reliability"
K0266,0,0,0,1,0,0,0,0,0,Knowledge of how to evaluate the trustworthiness of the supplier and/or product
K0267,0,0,0,0,0,0,0,0,1,"Knowledge of laws, policies, procedures, or governance relevant to cybersecurity for critical infrastructures"
K0268,0,1,0,0,0,0,0,0,0,Knowledge of forensic footprint identification
K0269,1,0,0,0,0,0,0,0,0,Knowledge of mobile communications architecture
K0270,0,0,0,1,0,0,0,0,0,Knowledge of the acquisition/procurement life cycle process
K0271,0,0,0,0,0,0,0,1,0,"Knowledge of operating system structures and internals (e.g., process management, directory structure, installed applications)"
K0272,0,0,1,0,0,0,0,0,0,Knowledge of network analysis tools used to identify software communications vulnerabilities
K0274,1,0,0,0,0,0,0,0,0,"Knowledge of transmission records (e.g., Bluetooth, Radio Frequency Identification (RFID), Infrared Networking (IR), Wireless Fidelity (Wi-Fi). paging, cellular, satellite dishes, Voice over Internet Protocol (VoIP)), and jamming techniques that enable transmission of undesirable information, or prevent installed systems from operating correctly"
K0275,0,0,0,0,0,0,0,1,0,Knowledge of configuration management techniques
K0276,0,0,0,0,0,1,0,0,0,Knowledge of security management
K0277,0,1,0,0,0,0,0,0,0,"Knowledge of current and emerging data encryption (e.g., Column and Tablespace Encryption, file and disk encryption) security features in databases (e.g. built-in cryptographic key management features)"
K0278,0,0,0,0,0,0,0,1,0,Knowledge of current and emerging data remediation security features in databases
K0280,0,0,0,0,0,1,0,0,0,"Knowledge of systems engineering theories, concepts, and methods"
K0281,1,0,0,0,0,0,0,0,0,Knowledge of information technology (IT) service catalogues
K0283,1,0,0,0,0,0,0,0,0,"Knowledge of use cases related to collaboration and content synchronization across platforms (e.g., Mobile, PC, Cloud)"
K0284,0,0,0,0,0,0,0,1,0,Knowledge of developing and applying user credential management system
